video_id,category_gpt,description_string
7222127247359020330, other,"it's official! i have launched my campaign for mayor of the city of houston! if we build and do it together, walk together, lift together, and if we are together, i can and will be your next mayor!"
7223081466794741034, other,had to get my steps in.
7227186827747233067, other,"enjoyed spending time with my brother,.proud to stand alongside him in the fight aganist fascism and for our democracy."
7228286136228236590," health, education, and labor",i will never stop fighting for expanded access to mammograms.
7233907161213046062," economy, commerce, and transportation",median hollywood writer pay has declined 14% in the last decade. meanwhile entertainment ceo’s made an average of $32 million in 2022 alone.
7244711724274715946, other,my name is sheila jackson lee and i’m running for mayor because houstonians deserve the promise of america.will you share our message and join me in fighting for the future that houston deserves?
7244977629969894698," civil rights, economy, commerce, and transportation","black people in america have been systematically stripped of our wealth, and to this day, face barriers to programs that promote homeownership and higher education."
7246903731118148907, culture,"when i first came to congress, we got a tour of the capitol. as a lover of art and museums, i spent time analyzing the art and i noticed just how problematic some of the art is. some of the art that has been on display for millions to come see is rooted in racism and doesn’t depict accurate representations of history. so come along with me as we discuss some of this art and it’s “problems”."
7249129643331226926, culture,minneapolis pride + flotus - doesn’t get much better than that! thank you @flotus for joining us! 📸: @jkmassey
7261403603695570222, other,caught up withfromto talk about why president biden should declare a.
7267592219224444206," health, education, and labor",houston will become a leader for our emphasis on mental health.
7269877600040914219, other,"thank you, beto 😎"
7270345843369168174," economy, commerce, and transportation",we will get the job done on city finances.was great chatting with my friends over at central houston inc. tonight about our plans for houston’s economic prosperity. ready to get to work.
7273605305144102190, civil rights,city hall must always reflect our values.
7279044048025849134," economy, commerce, and transportation","pay your workers what you owe them, don't act like you forgot."
7280962858626616619," health, education, and labor","student loan guide part 2/6: how did we get here?.there’s a lot of confusion out there as to whether cancellation is still alive, what the status of it is, and why payments are restarting. this video briefly runs through the timeline of events from the first cancellation announcement, to scotus, to payments restarting. if you’ve heard a lot of on/off about the program in the news, this should put that into context and answer some of those questions. this is not an endorsement of payments restarting, but recounting the sequence of events and summarizing where we are now since we’ve seen some confusion out there. if you want to jump straight into questions about your loans, check out part 3 and beyond."
7280967921470278958," health, education, and labor","student loan guide pt 4/6: eliminating/reducing your student loan payment with the new save program.in addition to continuing to pursue broader loan cancellation, the biden admin also announced a new loan program called save that could lower or eliminate your loan payments - even if you’ve already been on another income-driven repayment program previously. this video explains what it is and how to sign up or learn more."
7284840567572286763, other,this is a fight we will win.
7298432698102582571, culture,a day of zydeco in houston! i am a “washboard” girl!
7298853556403129642," defense, law, and crime, immigration and international affairs",—the only palestinian-american in congress—is a much-needed voice in an institution that too often fails to listen.so it's no surprise republicans want to police her & distract from their hateful policies.
7304762327088303403, other,💃🏾🕺🏾
7307031922218356014," defense, law, and crime",we will bring down crime by bringing all agencies together.
7322564437032897834," defense, law, and crime","thousands of pages of evidence. testimony from special counsel, u.s. attorneys, doj officials, the fbi, irs, financial advisors, friends and business partners. the gop’s own expert witnesses even said there wasn’t sufficient evidence to support an impeachment hearing on president biden."
7325202367341727019, immigration and international affairs,"house republicans are using the gavel in the oversight committee to revive trump’s horrific immigration policies.as a country made up of immigrants, we need bipartisan immigration reform that doesn’t demonize those trying to seek a better life."
7325490784348753195, immigration and international affairs,seeking asylum is a human right.  seeking asylum is a human right.  seeking asylum is a human right.  seeking asylum is a human right.  seeking asylum is a human right.  
7330353588633406766," economy, commerce, and transportation, civil rights","’ closure of their warren street location in roxbury is a disruptive, life-threatening act of racial and economic discrimination.as a multi-billion-dollar corporation, they should put their money where their mouth is and stop divesting from black and brown communities."
7338553526768995615," energy and environment, economy, commerce, and transportation","five years ago, we introduced a vision for social and ecological transformation big enough to save our planet—the green new deal.since then, gnd organizing has paved the way for the largest ever federal investment to fight climate change—$369 billion that will create 9 million new jobs. that’s just the down payment."
7340328240315125035," defense, law, and crime",we’ve got quite the week ahead of us in congress: another potential government shutdown and more impeachment efforts based on russian disinformation.
7341086682222972191," culture, civil rights","a lot of people don’t know that the first ems service in the country was started by black pittsburghers, when local police and fire refused to serve them."
7348568057402412319," defense, law, and crime",this sham impeachment hearing is unserious and a waste of our time and my constituents' taxpayer dollars.
7349683816333806894," defense, law, and crime","another day, another house gop impeachment hearing, which means more trafficking in russian disinformation designed to prop up trump’s 2024 campaign."
7349726769559113002," defense, law, and crime","at every turn, we're pushing back on house republicans' lies, chaos, and obstruction designed to prop up donald trump and his campaign. that’s why we’re on the front lines every single day defending our democracy and national security, which much prevail. watch more here ⤴️"
7355615984830483755," health, education, and labor",healthcare is a human right. period. we must do everything we can to ensure our communities can access care.
7355974909589212459," culture, health, education, and labor","as a proud graduate of albuquerque public schools—we know our graduates go on to do amazing things. take city councilor nichole rogers, who graduated from cibola just like me! (go cougars! 🐾) or aps superintendent gabriella blakey, who graduated from highland! so excited to see what this year’s graduates do next!"
7356391987936873771," health, education, and labor, housing and social welfare","i ran for congress because i was sick of politicians telling communities they would help them, only to turn around and use them for political theater.we’ve known for years of the behavioral health and public safety crises ravaging our tribes and pueblos, and it’s time we actually listen to tribal leaders and let them lead."
